elapse_time,crawl_non_robot,pending_link,total__link,download,resolved_host,valid_robot,non_z_robot,attempt_robot,pending_ip,total_ip,crawl_speed,download_speed
2,0.028,0,1,0,138,16,2,31,81,99,14,0.308503
4,0.044,1,2,1,220,28,2,49,139,159,11,0.352397
6,0.071,1,3,1,289,42,5,77,174,200,11.8333,0.325786
8,0.086,2,4,2,325,57,8,97,199,223,10.75,0.313124
10,0.1,2,5,2,379,69,9,112,229,263,10,0.277989
12,0.116,3,6,3,444,77,9,131,276,315,9.66667,0.303809
14,0.146,4,8,4,521,93,11,162,304,352,10.4286,0.330296
16,0.17,4,10,5,790,107,14,185,431,488,10.625,0.335176
18,0.205,5,12,6,897,123,17,224,480,554,11.3889,0.340553
20,0.222,6,12,6,980,131,18,244,521,607,11.1,0.332184
22,0.242,6,14,7,1041,144,20,264,552,644,11,0.329807
24,0.257,6,14,7,1095,151,20,277,583,678,10.7083,0.323203
26,0.278,7,15,8,1144,167,22,296,613,710,10.6923,0.316393
28,0.3,8,17,8,1191,180,28,319,633,745,10.7143,0.314541
30,0.313,8,18,9,1225,187,30,329,652,769,10.4333,0.302855
32,0.335,9,19,9,1280,195,33,348,689,806,10.4688,0.309286
34,0.356,9,20,10,1317,202,35,366,708,836,10.4706,0.308858
36,0.373,9,20,10,1359,211,37,383,728,856,10.3611,0.301467
38,0.384,10,21,11,1387,215,37,396,740,875,10.1053,0.289883
40,0.4,10,23,11,1453,224,39,408,785,922,10,0.294606
42,0.422,11,24,12,1658,237,40,431,949,1108,10.0476,0.298655
44,0.436,12,26,13,1836,246,40,447,1103,1260,9.90909,0.303186
46,0.447,12,27,13,1876,254,41,460,1137,1296,9.71739,0.300655
48,0.454,13,28,14,1946,259,41,467,1184,1359,9.45833,0.312468
50,0.467,14,29,15,2016,266,46,482,1246,1408,9.34,0.309453
52,0.49,14,30,15,2030,284,57,501,1242,1416,9.42308,0.303036
54,0.5,14,30,16,2080,291,60,512,1269,1448,9.25926,0.300193
56,0.511,15,31,16,2097,299,61,522,1273,1463,9.125,0.295982
58,0.528,16,33,17,2265,306,61,538,1343,1564,9.10345,0.29886
60,0.542,16,34,17,2403,313,63,549,1432,1619,9.03333,0.294787
62,0.563,17,35,18,2429,323,67,567,1441,1641,9.08065,0.296142
64,0.58,17,36,18,2476,335,71,587,1440,1647,9.0625,0.295622
66,0.597,18,37,19,2492,341,72,602,1428,1648,9.04545,0.298532
68,0.608,18,38,20,2522,345,72,613,1418,1651,8.94118,0.296235
70,0.618,18,38,20,2542,354,72,625,1414,1647,8.82857,0.294049
72,0.635,19,39,21,2561,364,72,639,1407,1646,8.81944,0.295939
74,0.652,19,40,21,2591,373,72,657,1396,1647,8.81081,0.291441
76,0.666,19,40,21,2617,378,73,662,1395,1646,8.76316,0.287181
78,0.678,19,41,22,2630,388,74,678,1390,1647,8.69231,0.288777
80,0.689,19,41,22,2645,391,75,686,1381,1646,8.6125,0.28521
82,0.704,20,42,23,2698,396,78,697,1372,1649,8.58537,0.283906
84,0.71,20,43,23,2722,396,78,705,1370,1654,8.45238,0.281706
86,0.724,20,43,24,2745,400,78,712,1361,1646,8.4186,0.279379
88,0.734,21,44,24,2814,409,80,721,1390,1683,8.34091,0.277287
89,0.739,21,44,24,2818,412,80,725,1393,1680,8.30337,0.274799
92,0.745,21,46,24,2854,417,80,732,1415,1702,8.09783,0.271018
95,0.76,22,47,25,2941,424,80,749,1459,1756,8,0.268816
96,0.778,23,48,25,3032,434,81,763,1520,1818,8.10417,0.269854
98,0.791,23,49,26,3045,440,82,773,1521,1827,8.07143,0.269148
100,0.801,23,51,26,3081,449,82,786,1539,1852,8.01,0.266983
103,0.81,24,51,26,3087,453,84,790,1552,1856,7.86408,0.261244
104,0.821,24,52,27,3118,459,87,800,1572,1875,7.89423,0.261072
107,0.839,25,53,27,3236,468,89,813,1624,1926,7.84112,0.258054
109,0.857,25,54,27,3254,476,90,825,1626,1935,7.86239,0.255694
110,0.865,25,54,28,3279,480,93,834,1636,1948,7.86364,0.255567
112,0.88,26,55,28,3316,482,95,849,1630,1952,7.85714,0.256131
114,0.892,26,55,28,3331,486,95,858,1625,1967,7.82456,0.252648
117,0.909,26,57,29,3370,495,97,876,1645,1990,7.76923,0.251185
119,0.922,27,57,29,3458,501,98,886,1693,2040,7.7479,0.25055
121,0.932,27,58,30,3523,505,98,893,1728,2075,7.70248,0.250595
123,0.942,27,59,30,3531,509,98,903,1731,2080,7.65854,0.24892
125,0.954,27,59,41,3593,521,98,913,1750,2123,7.632,0.333567
127,0.97,28,61,42,3725,533,98,931,1778,2183,7.6378,0.336898
129,0.986,28,63,43,3790,538,99,943,1848,2205,7.64341,0.339925
131,1.001,29,65,44,3811,541,100,953,1860,2217,7.64122,0.339555
