elapse_time,crawl_non_robot,pending_link,total__link,download,resolved_host,valid_robot,non_z_robot,attempt_robot,pending_ip,total_ip,crawl_speed,download_speed
1,0.002,0,0,14,0,0,0,0,0,0,2,14.9627
4,0.027,0,0,15,0,0,0,0,0,0,6.75,3.85106
6,0.05,1,1,15,0,0,0,0,0,0,8.33333,2.66421
8,0.066,1,3,16,0,0,0,0,0,0,8.25,2.10068
10,0.08,2,4,17,0,0,0,0,0,0,8,1.76423
12,0.094,3,6,18,0,0,0,0,0,0,7.83333,1.51934
14,0.102,3,7,18,0,0,0,0,0,0,7.28571,1.3552
16,0.113,4,9,19,0,0,0,0,0,0,7.0625,1.22736
18,0.127,5,10,20,0,0,0,0,0,0,7.05556,1.13029
21,0.143,5,11,20,0,0,0,0,0,0,6.80952,0.980667
22,0.158,6,13,21,0,0,0,0,0,0,7.18182,0.962406
24,0.173,6,13,21,0,0,0,0,0,0,7.20833,0.89248
27,0.19,7,16,22,0,0,0,0,0,0,7.03704,0.848134
28,0.201,8,16,23,0,0,0,0,0,0,7.17857,0.833118
30,0.212,8,17,23,0,0,0,0,0,0,7.06667,0.786409
32,0.219,8,18,23,0,0,0,0,0,0,6.84375,0.743291
